Mfg.,Part No.,Desc.,Units,Front Insert Len,Front Insert OD,Front OD,Length,Rear OD,Core Dia.,Rear Insert Len,Rear Insert OD,Thickness,Config,Material,CG Loc,Mass Units,Mass,Shape,Shape Param
SEMROC Astronautics,BR-085225,Balsa Reducer 085 to 225,in,0.500,0.865,0.945,2.500,2.3400,0,0.500,2.250,0,0,Balsa,2.485,oz,0.780,cone,0
SEMROC Astronautics,BR-085225 [R],Balsa Reducer 085 to 225 – Reversed,in,0.500,2.250,2.340,2.500,0.9450,0,0.500,0.865,0,0,Balsa,1.015,oz,0.780,cone,0
SEMROC Astronautics,BR-1013,Balsa Reducer 10 to 13,in,0.500,1.000,1.040,0.750,1.3400,0,0.500,1.300,0,0,Balsa,1.243,oz,0.180,cone,0
SEMROC Astronautics,BR-1013 [R],Balsa Reducer 10 to 13 – Reversed,in,0.500,1.300,1.340,0.750,1.0400,0,0.500,1.000,0,0,Balsa,0.508,oz,0.180,cone,0
SEMROC Astronautics,BR-1016,Balsa Reducer 10 to 16,in,0.500,1.000,1.040,1.500,1.6400,0,0.500,1.600,0,0,Balsa,1.775,oz,0.320,cone,0
SEMROC Astronautics,BR-1016 [R],Balsa Reducer 10 to 16 – Reversed,in,0.500,1.600,1.640,1.500,1.0400,0,0.500,1.000,0,0,Balsa,0.725,oz,0.320,cone,0
SEMROC Astronautics,BR-1016S,Balsa Reducer 10 to 16,in,0.500,1.000,1.040,1.200,1.6400,0,0.500,1.600,0,0,Balsa,1.562,oz,0.290,cone,0
SEMROC Astronautics,BR-1016S [R],Balsa Reducer 10 to 16 – Reversed,in,0.500,1.600,1.640,1.200,1.0400,0,0.500,1.000,0,0,Balsa,0.638,oz,0.290,cone,0
SEMROC Astronautics,BR-1116,Balsa Reducer 11 to 16,in,0.500,1.130,1.170,1.500,1.6400,0,0.500,1.600,0,0,Balsa,1.775,oz,0.330,cone,0
SEMROC Astronautics,BR-1116 [R],Balsa Reducer 11 to 16 – Reversed,in,0.500,1.600,1.640,1.500,1.1700,0,0.500,1.130,0,0,Balsa,0.725,oz,0.330,cone,0
SEMROC Astronautics,BR-1118,Balsa Reducer 11 to 18,in,0.500,1.130,1.170,1.500,1.8400,0,0.500,1.800,0,0,Balsa,1.775,oz,0.360,cone,0
SEMROC Astronautics,BR-1118 [R],Balsa Reducer 11 to 18 – Reversed,in,0.500,1.800,1.840,1.500,1.1700,0,0.500,1.130,0,0,Balsa,0.725,oz,0.360,cone,0
SEMROC Astronautics,BR-11516,Balsa Reducer 115 to 16,in,0.500,1.140,1.220,3.375,1.6400,0,0.500,1.600,0,0,Balsa,3.106,oz,1.050,cone,0
SEMROC Astronautics,BR-11516 [R],Balsa Reducer 115 to 16 – Reversed,in,0.500,1.600,1.640,3.375,1.2200,0,0.500,1.140,0,0,Balsa,1.269,oz,1.050,cone,0
SEMROC Astronautics,BR-11518,Balsa Reducer 115 to 18,in,0.500,1.140,1.220,3.375,1.8400,0,0.500,1.800,0,0,Balsa,3.106,oz,1.100,cone,0
SEMROC Astronautics,BR-11518 [R],Balsa Reducer 115 to 18 – Reversed,in,0.500,1.800,1.840,3.375,1.2200,0,0.500,1.140,0,0,Balsa,1.269,oz,1.100,cone,0
SEMROC Astronautics,BR-125-175,Balsa Reducer 125 to 175,in,0.500,1.250,1.340,2.100,1.8400,0,0.500,1.750,0,0,Balsa,2.201,oz,0.500,cone,0
SEMROC Astronautics,BR-125-175 [R],Balsa Reducer 125 to 175 – Reversed,in,0.500,1.750,1.840,2.100,1.3400,0,0.500,1.250,0,0,Balsa,0.899,oz,0.500,cone,0
SEMROC Astronautics,BR-125-175L,Balsa Reducer 125 to 175,in,0.500,1.250,1.340,2.800,1.8400,0,0.500,1.750,0,0,Balsa,2.698,oz,0.650,cone,0
SEMROC Astronautics,BR-125-175L [R],Balsa Reducer 125 to 175 – Reversed,in,0.500,1.750,1.840,2.800,1.3400,0,0.500,1.250,0,0,Balsa,1.102,oz,0.650,cone,0
SEMROC Astronautics,BR-125-225,Balsa Reducer 125 to 225,in,0.500,1.250,1.340,2.800,2.3400,0,0.500,2.250,0,0,Balsa,2.698,oz,0.600,cone,0
SEMROC Astronautics,BR-125-225 [R],Balsa Reducer 125 to 225 – Reversed,in,0.500,2.250,2.340,2.800,1.3400,0,0.500,1.250,0,0,Balsa,1.102,oz,0.600,cone,0
SEMROC Astronautics,BR-1316,Balsa Reducer 13 to 16,in,0.500,1.300,1.340,0.750,1.6400,0,0.500,1.600,0,0,Balsa,1.243,oz,0.240,cone,0
SEMROC Astronautics,BR-1316 [R],Balsa Reducer 13 to 16 – Reversed,in,0.500,1.600,1.640,0.750,1.3400,0,0.500,1.300,0,0,Balsa,0.508,oz,0.240,cone,0
SEMROC Astronautics,BR-1316F,Balsa Reducer 13 to 16,in,0.500,1.300,1.340,1.750,1.6400,0,0.500,1.600,0,0,Balsa,1.953,oz,0.360,cone,0
SEMROC Astronautics,BR-1316F [R],Balsa Reducer 13 to 16 – Reversed,in,0.500,1.600,1.640,1.750,1.3400,0,0.500,1.300,0,0,Balsa,0.798,oz,0.360,cone,0
SEMROC Astronautics,BR-1316L,Balsa Reducer 13 to 16,in,0.500,1.300,1.340,1.500,1.6400,0,0.500,1.600,0,0,Balsa,1.775,oz,0.300,cone,0
SEMROC Astronautics,BR-1316L [R],Balsa Reducer 13 to 16 – Reversed,in,0.500,1.600,1.640,1.500,1.3400,0,0.500,1.300,0,0,Balsa,0.725,oz,0.300,cone,0
SEMROC Astronautics,BR-1316M,Balsa Reducer 13 to 16,in,0.500,1.300,1.340,1.000,1.6400,0,0.500,1.600,0,0,Balsa,1.420,oz,0.280,cone,0
SEMROC Astronautics,BR-1316M [R],Balsa Reducer 13 to 16 – Reversed,in,0.500,1.600,1.640,1.000,1.3400,0,0.500,1.300,0,0,Balsa,0.580,oz,0.280,cone,0
SEMROC Astronautics,BR-1320,Balsa Reducer 13 to 20,in,0.500,1.300,1.340,0.750,2.0400,0,0.500,2.000,0,0,Balsa,1.243,oz,0.280,cone,0
SEMROC Astronautics,BR-1320 [R],Balsa Reducer 13 to 20 – Reversed,in,0.500,2.000,2.040,0.750,1.3400,0,0.500,1.300,0,0,Balsa,0.508,oz,0.280,cone,0
SEMROC Astronautics,BR-1320L,Balsa Reducer 13 to 20,in,0.500,1.300,1.340,4.500,2.0400,0,0.500,2.000,0,0,Balsa,3.905,oz,0.560,cone,0
SEMROC Astronautics,BR-1320L [R],Balsa Reducer 13 to 20 – Reversed,in,0.500,2.000,2.040,4.500,1.3400,0,0.500,1.300,0,0,Balsa,1.595,oz,0.560,cone,0
SEMROC Astronautics,BR-150-225,Balsa Reducer 150 to 225,in,0.500,1.500,1.590,2.250,2.3400,0,0.500,2.250,0,0,Balsa,2.308,oz,1.050,cone,0
SEMROC Astronautics,BR-150-225 [R],Balsa Reducer 150 to 225 – Reversed,in,0.500,2.250,2.340,2.250,1.5900,0,0.500,1.500,0,0,Balsa,0.943,oz,1.050,cone,0
SEMROC Astronautics,BR-150-275,Balsa Reducer 150 to 275,in,0.500,1.500,1.590,2.900,2.8400,0,0.500,2.750,0,0,Balsa,2.769,oz,1.450,cone,0
SEMROC Astronautics,BR-150-275 [R],Balsa Reducer 150 to 275 – Reversed,in,0.500,2.750,2.840,2.900,1.5900,0,0.500,1.500,0,0,Balsa,1.131,oz,1.450,cone,0
SEMROC Astronautics,BR-1618,Balsa Reducer 16 to 18,in,0.500,1.600,1.640,1.500,1.8400,0,0.500,1.800,0,0,Balsa,1.775,oz,0.280,cone,0
SEMROC Astronautics,BR-1618 [R],Balsa Reducer 16 to 18 – Reversed,in,0.500,1.800,1.840,1.500,1.6400,0,0.500,1.600,0,0,Balsa,0.725,oz,0.280,cone,0
SEMROC Astronautics,BR-1618F,Balsa Reducer 16 to 18,in,0.500,1.600,1.640,1.800,1.8400,0,0.500,1.800,0,0,Balsa,1.988,oz,0.300,cone,0
SEMROC Astronautics,BR-1618F [R],Balsa Reducer 16 to 18 – Reversed,in,0.500,1.800,1.840,1.800,1.6400,0,0.500,1.600,0,0,Balsa,0.812,oz,0.300,cone,0
SEMROC Astronautics,BR-1620,Balsa Reducer 16 to 20,in,0.500,1.600,1.640,1.500,2.0400,0,0.500,2.000,0,0,Balsa,1.775,oz,0.300,cone,0
SEMROC Astronautics,BR-1620 [R],Balsa Reducer 16 to 20 – Reversed,in,0.500,2.000,2.040,1.500,1.6400,0,0.500,1.600,0,0,Balsa,0.725,oz,0.300,cone,0
SEMROC Astronautics,BR-1620F,Balsa Reducer 16 to 20,in,0.500,1.600,1.640,1.200,2.0400,0,0.500,2.000,0,0,Balsa,1.562,oz,0.270,cone,0
SEMROC Astronautics,BR-1620F [R],Balsa Reducer 16 to 20 – Reversed,in,0.500,2.000,2.040,1.200,1.6400,0,0.500,1.600,0,0,Balsa,0.638,oz,0.270,cone,0
SEMROC Astronautics,BR-16225F,Balsa Reducer 16 to 225,in,0.500,1.600,1.640,1.550,2.3400,0,0.500,2.250,0,0,Balsa,1.811,oz,0.330,cone,0
SEMROC Astronautics,BR-16225F [R],Balsa Reducer 16 to 225 – Reversed,in,0.500,2.250,2.340,1.550,1.6400,0,0.500,1.600,0,0,Balsa,0.740,oz,0.330,cone,0
SEMROC Astronautics,BR-175-225,Balsa Reducer 175 to 225,in,0.500,1.750,1.840,2.100,2.3400,0,0.500,2.250,0,0,Balsa,2.201,oz,0.800,cone,0
SEMROC Astronautics,BR-175-225 [R],Balsa Reducer 175 to 225 – Reversed,in,0.500,2.250,2.340,2.100,1.8400,0,0.500,1.750,0,0,Balsa,0.899,oz,0.800,cone,0
SEMROC Astronautics,BR-1820,Balsa Reducer 18 to 20,in,0.500,1.800,1.840,1.500,2.0400,0,0.500,2.000,0,0,Balsa,1.775,oz,0.250,cone,0
SEMROC Astronautics,BR-1820 [R],Balsa Reducer 18 to 20 – Reversed,in,0.500,2.000,2.040,1.500,1.8400,0,0.500,1.800,0,0,Balsa,0.725,oz,0.250,cone,0
SEMROC Astronautics,BR-18225,Balsa Reducer 18 to 225,in,0.500,1.800,1.840,2.000,2.3400,0,0.500,2.250,0,0,Balsa,2.130,oz,0.310,cone,0
SEMROC Astronautics,BR-18225 [R],Balsa Reducer 18 to 225 – Reversed,in,0.500,2.250,2.340,2.000,1.8400,0,0.500,1.800,0,0,Balsa,0.870,oz,0.310,cone,0
SEMROC Astronautics,BR-225-80H,Balsa Reducer 225 to BT-80H,in,0.500,2.250,2.340,2.100,2.6400,0,0.500,2.558,0,0,Balsa,2.201,oz,1.300,cone,0
SEMROC Astronautics,BR-225-80H [R],Balsa Reducer 225 to BT-80H – Reversed,in,0.500,2.558,2.640,2.100,2.3400,0,0.500,2.250,0,0,Balsa,0.899,oz,1.300,cone,0
SEMROC Astronautics,BR-510,Balsa Reducer 5 to 10,in,0.500,0.515,0.543,0.750,1.0400,0,0.500,1.000,0,0,Balsa,1.243,oz,0.110,cone,0
SEMROC Astronautics,BR-510 [R],Balsa Reducer 5 to 10 – Reversed,in,0.500,1.000,1.040,0.750,0.5430,0,0.500,0.515,0,0,Balsa,0.508,oz,0.110,cone,0
SEMROC Astronautics,BR-511,Balsa Reducer 5 to 11,in,0.500,0.515,0.543,0.750,1.1700,0,0.500,1.130,0,0,Balsa,1.243,oz,0.120,cone,0
SEMROC Astronautics,BR-511 [R],Balsa Reducer 5 to 11 – Reversed,in,0.500,1.130,1.170,0.750,0.5430,0,0.500,0.515,0,0,Balsa,0.508,oz,0.120,cone,0
SEMROC Astronautics,BR-513,Balsa Reducer 5 to 13,in,0.500,0.515,0.543,1.500,1.3400,0,0.500,1.300,0,0,Balsa,1.775,oz,0.160,cone,0
SEMROC Astronautics,BR-513 [R],Balsa Reducer 5 to 13 – Reversed,in,0.500,1.300,1.340,1.500,0.5430,0,0.500,0.515,0,0,Balsa,0.725,oz,0.160,cone,0
SEMROC Astronautics,BR-57,Balsa Reducer 5 to 7,in,0.500,0.515,0.543,0.500,0.7590,0,0.500,0.715,0,0,Balsa,1.065,oz,0.070,cone,0
SEMROC Astronautics,BR-57 [R],Balsa Reducer 5 to 7 – Reversed,in,0.500,0.715,0.759,0.500,0.5430,0,0.500,0.515,0,0,Balsa,0.435,oz,0.070,cone,0
SEMROC Astronautics,BR-58,Balsa Reducer 5 to 8,in,0.500,0.515,0.543,0.500,0.9080,0,0.500,0.865,0,0,Balsa,1.065,oz,0.100,cone,0
SEMROC Astronautics,BR-58 [R],Balsa Reducer 5 to 8 – Reversed,in,0.500,0.865,0.908,0.500,0.5430,0,0.500,0.515,0,0,Balsa,0.435,oz,0.100,cone,0
SEMROC Astronautics,BR-58F,Balsa Reducer 5 to 8F,in,0.500,0.515,0.543,0.500,0.9210,0,0.500,0.885,0,0,Balsa,1.065,oz,0.100,cone,0
SEMROC Astronautics,BR-58F [R],Balsa Reducer 5 to 8F – Reversed,in,0.500,0.885,0.921,0.500,0.5430,0,0.500,0.515,0,0,Balsa,0.435,oz,0.100,cone,0
SEMROC Astronautics,BR-59,Balsa Reducer 5 to 9,in,0.500,0.515,0.543,1.000,0.9980,0,0.500,0.950,0,0,Balsa,1.420,oz,0.180,cone,0
SEMROC Astronautics,BR-59 [R],Balsa Reducer 5 to 9 – Reversed,in,0.500,0.950,0.998,1.000,0.5430,0,0.500,0.515,0,0,Balsa,0.580,oz,0.180,cone,0
SEMROC Astronautics,BR-60-18,Balsa Reducer BT-60 to ST-18,in,0.500,1.595,1.637,1.000,1.8400,0,0.500,1.800,0,0,Balsa,1.420,oz,0.290,cone,0
SEMROC Astronautics,BR-60-18 [R],Balsa Reducer BT-60 to ST-18 – Reversed,in,0.500,1.800,1.840,1.000,1.6370,0,0.500,1.595,0,0,Balsa,0.580,oz,0.290,cone,0
SEMROC Astronautics,BR-710,Balsa Reducer 7 to 10,in,0.500,0.715,0.759,0.750,1.0400,0,0.500,1.000,0,0,Balsa,1.243,oz,0.120,cone,0
SEMROC Astronautics,BR-710 [R],Balsa Reducer 7 to 10 – Reversed,in,0.500,1.000,1.040,0.750,0.7590,0,0.500,0.715,0,0,Balsa,0.508,oz,0.120,cone,0
SEMROC Astronautics,BR-711,Balsa Reducer 7 to 11,in,0.500,0.715,0.759,0.750,1.1700,0,0.500,1.130,0,0,Balsa,1.243,oz,0.130,cone,0
SEMROC Astronautics,BR-711 [R],Balsa Reducer 7 to 11 – Reversed,in,0.500,1.130,1.170,0.750,0.7590,0,0.500,0.715,0,0,Balsa,0.508,oz,0.130,cone,0
SEMROC Astronautics,BR-713,Balsa Reducer 7 to 13,in,0.500,0.715,0.759,1.500,1.3400,0,0.500,1.300,0,0,Balsa,1.775,oz,0.180,cone,0
SEMROC Astronautics,BR-713 [R],Balsa Reducer 7 to 13 – Reversed,in,0.500,1.300,1.340,1.500,0.7590,0,0.500,0.715,0,0,Balsa,0.725,oz,0.180,cone,0
SEMROC Astronautics,BR-716,Balsa Reducer 7 to 16,in,0.500,0.715,0.759,2.000,1.6400,0,0.500,1.600,0,0,Balsa,2.130,oz,0.360,cone,0
SEMROC Astronautics,BR-716 [R],Balsa Reducer 7 to 16 – Reversed,in,0.500,1.600,1.640,2.000,0.7590,0,0.500,0.715,0,0,Balsa,0.870,oz,0.360,cone,0
SEMROC Astronautics,BR-718,Balsa Reducer 7 to 18,in,0.500,0.715,0.759,2.000,1.8400,0,0.500,1.800,0,0,Balsa,2.130,oz,0.420,cone,0
SEMROC Astronautics,BR-718 [R],Balsa Reducer 7 to 18 – Reversed,in,0.500,1.800,1.840,2.000,0.7590,0,0.500,0.715,0,0,Balsa,0.870,oz,0.420,cone,0
SEMROC Astronautics,BR-78,Balsa Reducer 7 to 8,in,0.500,0.715,0.759,0.875,0.9080,0,0.500,0.865,0,0,Balsa,1.331,oz,0.130,cone,0
SEMROC Astronautics,BR-78 [R],Balsa Reducer 7 to 8 – Reversed,in,0.500,0.865,0.908,0.875,0.7590,0,0.500,0.715,0,0,Balsa,0.544,oz,0.130,cone,0
SEMROC Astronautics,BR-78F,Balsa Reducer 7 to 8F,in,0.500,0.715,0.759,1.000,0.9210,0,0.500,0.885,0,0,Balsa,1.420,oz,0.170,cone,0
SEMROC Astronautics,BR-78F [R],Balsa Reducer 7 to 8F – Reversed,in,0.500,0.885,0.921,1.000,0.7590,0,0.500,0.715,0,0,Balsa,0.580,oz,0.170,cone,0
SEMROC Astronautics,BR-78S,Balsa Reducer 7 to 8,in,0.500,0.715,0.759,0.500,0.9080,0,0.500,0.865,0,0,Balsa,1.065,oz,0.100,cone,0
