Material Name,Units,Density,Low,High,Class,Rocketry Use,Body Tubes,Fin Sets,Launch Lugs,Cords,Nose,Chute,Stream,Trans,Ring,Bulkhead,Engine Block,Sleeve,Tube Coupler,spare,spare,spare,spare,spare,spare,spare,Known Dim type,Known Dim Units,Known Dim Value
,kg/m3,0,0,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"G10 (PML 0.062"")",kg/m3,1309.,1309.,1309.,unknown,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.060 Carbon Fiber,kg/m3,1400,1400,1400,Carbon Fiber,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
.125 in Fiberglass/Honeycomb,lb/ft3,28.8,28.8,28.8,unknown,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
.25 in Fiberglass/Honeycomb,lb/ft3,14.7,14.7,14.7,unknown,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1 in. Flat Elastic,oz/in,0.0139,0.0139,0.0139,Rubber,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 in. Tubular Nylon,oz/in,0.04,0.04,0.04,Nylon,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1 Ounce Rip Stop Nylon,lb/ft3,0.0037351,0.0037351,0.0037351,Nylon,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1 oz. Rip Stop Nylon,oz/in2,0.00085,0.00085,0.00085,Nylon,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3 oz. Ripstop Nylon (SkyAngle),oz/in2,0.001003,0.001003,0.001003,Nylon,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7 oz. Ripstop Nylon ,oz/in2,0.0013117,0.0013117,0.0013117,Nylon,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9 oz. Ripstop Nylon (SkyAngle),oz/in2,0.001466,0.001466,0.001466,Nylon,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9 oz. Ripstop Nylon (PML),oz/in2,0.002,0.002,0.002,Nylon,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9 oz. Ripstop Nylon ,oz/in2,0.001466,0.001466,0.001466,Nylon,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16 in. Aircraft Plywood,kg/m3,361.3765253,361.3765253,361.3765253,Wood,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16 in. Braided Nylon,g/cm,0.0102,0.0102,0.0102,Nylon,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16 in. Round Elastic,g/cm,0.0183,0.0183,0.0183,Rubber,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2 in. Flat Elastic,oz/in,0.0028,0.0028,0.0028,Rubber,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2 in. Tubular Kevlar,oz/in,0.04,0.04,0.04,Kevlar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2 in. Tubular Nylon,lb/ft3,0.0038,0.0038,0.0038,Nylon,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/32 in. Kevlar,g/cm,0.00659,0.00659,0.00659,Kevlar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4 Aircraft Plywood,kg/m3,344.269,344.269,344.269,Wood,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4 in. Braided Nylon,lb/ft3,0.00408,0.00408,0.00408,Nylon,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4 in. Aircraft Plywood,kg/m3,344.2688068,344.2688068,344.2688068,Wood,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4 In. Flat Elastic,g/cm,0.0402,0.0402,0.0402,Rubber,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4 in. Tubular Kevlar,oz/in,0.02,0.02,0.02,Kevlar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8 Aircraft Plywood,kg/m3,337.541,337.541,337.541,Wood,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8 in Birch Plywood (Revell),lb/ft3,40,40,40,unknown,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8 in. Aircraft Plywood,lb/ft3,42,42,42,Wood,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8 in. Braided Nylon,lb/ft3,0.00204,0.00204,0.00204,Nylon,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8 in. Flat Elastic,g/cm,0.0205,0.0205,0.0205,Rubber,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8 in. Flat Rubber,g/cm,0.0231,0.0231,0.0231,Rubber,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8 in. Tubular Kevlar,oz/in,0.01,0.01,0.01,Kevlar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100 lb Kevlar (Apogee 29505),lb/ft3,0.000397,0.000397,0.000397,Kevlar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100 lb. Kevlar,lb/ft3,0.00205,0.00205,0.00205,Kevlar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100lb Kevlar (Apogee 29505),lb/ft3,0.000397,0.000397,0.000397,Kevlar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500 lb. Kevlar,lb/ft3,0.0059875,0.0059875,0.0059875,Kevlar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500lb Kevlar (Apogee 29507),lb/ft3,0.0059875,0.0059875,0.0059875,Kevlar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260 lb. Elastic,kg/m3,0,0,0,Rubber,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/16 Aircraft Plywood,kg/m3,344.2688068,344.2688068,344.2688068,unknown,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/16 in. Aircraft Plywood,kg/m3,344.2688068,344.2688068,344.2688068,Wood,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4 in. Flat Elastic,oz/in,0.011,0.011,0.011,Rubber,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8 in. Flat Elastic,lb/ft3,0.0038,0.0038,0.0038,Rubber,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8 in. Tubular Nylon ,oz/in,0.0166667,0.0166667,0.0166667,Nylon,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8 in. Tubular Nylon (SkyAngle),oz/in,0.0166667,0.0166667,0.0166667,Nylon,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8 inch Flat Elastic,lb/ft3,0.0038,0.0038,0.0038,Rubber,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3/8"" tubular nylon (SkyAngle)",lb/ft3,0.186021,0.186021,0.186021,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3/8"" tubular nylon (SkyAngle)",lb/ft3,0.186021,0.186021,0.186021,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Lb. Kevlar,g/cm,0.00178,0.00178,0.00178,Kevlar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300 lb. Kevlar (Apogee 29506),lb/ft3,0.0011286,0.0011286,0.0011286,Kevlar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300 lb. Kevlar,lb/ft3,0.0011286,0.0011286,0.0011286,Kevlar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300lb Kevlar (Apogee 29506),lb/ft3,0.0011286,0.0011286,0.0011286,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000 lb. nylon,kg/m3,0,0,0,Nylon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/64 in. Round Elastic,g/cm,0.0242,0.0242,0.0242,Rubber,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/8 in. Tubular Nylon,oz/in,0.02,0.02,0.02,Nylon,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/8 in. Tubular Nylon (SkyAngle),oz/in,0.02,0.02,0.02,Nylon,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000 lb. nylon,kg/m3,0,0,0,Nylon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6oz & 2oz FG & Poster board,kg/m3,798.85,798.85,798.85,Paper,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/16 in. Flat Braided Kevlar,oz/in,0.045,0.045,0.045,Kevlar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70 Lb. Kevlar,g/cm,0.0033,0.0033,0.0033,Kevlar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750 Lb. Kevlar,oz/in,0.0027,0.0027,0.0027,Kevlar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/16 in. Tubular Nylon,oz/in,0.015,0.015,0.015,Nylon,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acrylic (Cast),lb/ft3,74,74,74,Acrylic,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aircraft plywood (Birch),lb/ft3,45.26,43.56,46.96,Wood,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Aircraft plywood (LOC),lb/ft3,45.26,43.56,46.96,Wood,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Aluminum,kg/m3,2698.9,2698.9,2698.9,Metal,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aluminum (Al),kg/m3,2698.9,2698.9,2698.9,Metal,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Aluminum 2024,kg/m3,2780,2780,2780,Metal,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aluminum 7075,kg/m3,2810,2810,2810,Metal,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ash,lb/ft3,42.5,40,45,Wood,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Balsa,lb/ft3,8,8,8,Wood,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Basswood,lb/ft3,26.5,25,28,Wood,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Beech,lb/ft3,45,45,45,Wood,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Birch,lb/ft3,42.5,42.5,42.5,Wood,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Birch Plywood (Revell),lb/ft3,41,41,41,unknown,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Tube,g/cm3,1.237,1.237,1.237,Paper,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Blue Tube 2,g/cm3,1.25,1.25,1.25,Paper,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Brass,lb/ft3,534,534,534,Metal,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon Fiber,kg/m3,1400,1400,1400,Carbon Fiber,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Cardboard,lb/ft3,43,43,43,Cardboard,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Carpet String,g/cm,0.0032972,0.0032972,0.0032972,String,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carpet String (Apogee 29500),g/cm,0.0032972,0.0032972,0.0032972,String,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cellulose Acetate Propionate,lb/ft3,74.9,74.9,74.9,Plastic,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Chalk (Fine),lb/ft3,70,70,70,Chalk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copper (cast),lb/ft3,542,542,542,Metal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copper (rolled),lb/ft3,556,556,556,Metal,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cork (Solid),lb/ft3,15,15,15,Cork,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cottonwood,lb/ft3,25,25,25,Wood,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Composite Fin Material,lb/ft3,39.6,39.6,39.6,Cardboard,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Custom,kg/m3,0.,0.,0.,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiber,lb/ft3,41,41,41,Fiber ,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Fiberglass,lb/ft3,118.94,118.94,118.94,Fiberglass,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Fir (Douglas),lb/ft3,35,35,35,Wood,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fir (White),lb/ft3,25,25,25,Wood,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
G10 (PML 0.062"),lb/ft3,0.0044074,0.0044074,0.0044074,unknown,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G10 (PML 0.062),oz/in2,0.0714,0.0714,0.0714,Fiberglass,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
G10 (PML 0.093),oz/in2,0.1143,0.1143,0.1143,Fiberglass,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
G10 (PML 0.125),oz/in2,0.1404,0.1404,0.1404,Fiberglass,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
G10 Fiberglass Filament Wound,kg/m3,1934,1934,1934,Fiberglass,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
G10 Fiberglass Filament Wound Tube,kg/m3,1820,1820,1820,Fiberglass,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
G10 Fiberglass,lb/ft3,135.8,135.8,135.8,Fiberglass,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
G10 Fiberglass (LOC),lb/ft3,118.94,118.94,118.94,Fiberglass,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
G10 Phenolic,lb/ft3,118.94,118.94,118.94,Fiberglass,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
G12 Fiberglass,kg/m3,0.,0.,0.,unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Glassed Phenolic,kg/m3,1900,1900,1900,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gold (24 kt.),lb/ft3,1204,1204,1204,Metal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevlar Thread (Apogee 29502),g/cm,0.0008858,0.0008858,0.0008858,Kevlar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kraft phenolic,lb/ft3,58.9,58.9,58.9,unknown,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Kraft phenolic (Glassed),kg/m3,1153.329336,1153.329336,1153.329336,Paper,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lead (cast),lb/ft3,708,708,708,Metal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lead (rolled),lb/ft3,711,711,711,Metal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lead Shot,kg/m3,6727.75,6727.75,6727.75,Metal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leather,lb/ft3,59,59,59,Leather,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lexan,g/cm3,1.218,1.218,1.218,Lexan,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Mat Board 4-Ply,kg/m3,710.579,710.579,710.579,Paper,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spiral/Glassine-Thick,kg/m3,768.886,768.886,768.886,Paper,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vulcanized Fiber,kg/m3,1250,1250,1250,Paper,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lite Plywood,lb/ft3,22,22,22,Wood,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Mail Tube Paper,kg/m3,800,800,800,Paper,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Magna Phenolic,g/cm3,1.1,1.1,1.1,Paper,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dyna-Wind Tubing,g/cm3,1.21,1.21,1.21,Paper,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Maple (Hard),lb/ft3,39.5,35,44,Wood,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Mylar,g/cm3,1.309,1.309,1.309,unknown,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nickel 200,kg/m3,8890,8890,8890,Metal,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Nickel 400,kg/m3,8800,8800,8800,Metal,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Nickel 600,kg/m3,8410,8410,8410,Metal,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Nickel 625,kg/m3,8440,8440,8440,Metal,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Nickel 718,kg/m3,8230,8230,8230,Metal,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Nickel C276,kg/m3,8890,8890,8890,Metal,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Nylon,g/cm3,1.14,1.141.14,0,Nylon,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Oak (Brown),lb/ft3,45,45,45,Wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oak (Red),lb/ft3,45,45,45,Wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oak (White),lb/ft3,47,47,47,Wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paper,lb/ft3,38,38,38,Paper,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Paper/2layers 8 oz.  glass,kg/m3,1681.94,1681.94,1681.94,Paper,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pine (White Northern),lb/ft3,25,25,25,Wood,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Pine (White Western),lb/ft3,27,27,27,Wood,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Plastic,kg/m3,920,920,920,Plastic,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polycarbonate,lb/ft3,74.9,74.9,74.9,Plastic,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Polyethylene,kg/m3,920,920,920,Plastic,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polyethylene LDPE,lb/ft3,57.7,57.7,57.7,Plastic,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polystyrene PS,lb/ft3,65.5,65.5,65.5,Plastic,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Poplar (Yellow),lb/ft3,30,30,30,Wood,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVC,lb/ft3,81.2,81.2,81.2,Plastic,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Quantum Tubing,g/cm3,1.1,1.1,1.1,Paper,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Rip stop nylon,g/cm2,0.006685,0.006685,0.006685,Nylon,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rocketwood,lb/ft3,33.03,33.03,33.03,Wood,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Russian 1/8 in. Plywood,kg/m3,685.1,685.1,685.1,Wood,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Silver,lb/ft3,653,653,653,Metal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spiral/Glassine,lb/ft3,53,53,53,Paper,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Spruce,lb/ft3,28,28,28,Wood,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Stainless steel 17-4PH,kg/m3,7600,7600,7600,Metal,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Stainless steel 17-5PH,kg/m3,7800,7800,7800,Metal,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Stainless steel 17-7PH,kg/m3,7800,7800,7800,Metal,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Steel,kg/m3,7850,7850,7850,Metal,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Steel 4130,kg/m3,7850,7850,7850,Metal,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Steel 4340,kg/m3,7850,7850,7850,Metal,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Sycamore,lb/ft3,35,35,35,Wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Titanium,kg/m3,4500,4500,4500,Metal,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Urethane,lb/ft3,52.88,52.88,52.88,unknown,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lite ply,kg/m3,352.406186,352.406186,352.406186,Wood,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
